company,mark,city,year,price,engine,power,transmission,gear,body_type,color,mileage,wheel,generation,equipment,public_date,views,description
BMW,3-Series,Санкт-Петербург,2007,1200000,бензин 3.0 л,272л.с.,АКПП,задний,седан,черный,220000км,левый,5 поколение,330i AT,04.05.2024, 10,"Машиной владею с 16 года (я второй владелец.) все года она парковалась в паркинге .В машине поменял мне кажется все, что можно в техническом плане.список огромный проще по телефону все перечислить.Все прокладки и болячки которые вас могут побеспокоить, я устранил.Подвеску перебрал всю, подрамник отпескоструили и покрасили, двигатель работает как часики. компрессия хорошаяТолько за два года вложил 500 +тысяч, в остальные года не меньше .До зимы сделан был полный пескоструй днища и покрыт соответственно.(фото отчет предоставлю всех этапов)делал для себя продавать в планах не было.Было два мелких дтп за все мое владение, поцарапали бампера на парковке, не знаю они есть в базе или нет, фото пришлю.Масло менял всегда раз в 7 тысяч.По лкп надо подделать.подвеска м-тех.соответственно суппорта и привода от 335 уже стоят.В РФ сейчас в продаже всего две машины 330i -272 силы (моя вторая)Сервисные проверки без проблем, за ваш счет."
Лада,Приора,Санкт-Петербург,2015,599000,бензин 1.6 л,106л.с.,механика,передний,хэтчбек 5 дв.,серый,145000км,левый,1 поколение рестайлинг,,04.05.2024, 55,"Здравствуйте, продаю свой автомобиль с зеленым отчётом. Оформлен на мою маму, но она даже не вписана в страховку. Был куплен в феврале 2022г, за это время за автомобилем очень хорошо следили(фото прилагаю всего того, что меняли), описывать тут всё не буду. Автомобиль в ДТП не был, есть косметические окрасы. Мы красили крышку багажника, капот и нижние части дверей, чтобы продлить жизнь машине, а так же все двери и полости пролиты мовилью. Делали всё для себя. Денег не жалели. Машина с кондиционером! В машине установили: *сигнализацию Старлайн с автозапуском*подогревы зеркал *подогревы сидений *регистратор с камерой заднего вида, которая так же снимает происходящее на дороге*парктроник*Блюз-гарнитура, которая выводит звонки с телефона в динамики машины, удобно разговаривать за рулем. Любые проверки за ваш счет. Продаю в связи с покупкой универсала.Прошу автосалоны не беспокоить. Машину никуда сдавать и ставить не буду!!!Разумный торг приветствуется"
Jaguar,I-Pace,Санкт-Петербург,2019,4540000,электро,400л.с.,АКПП,4WD,,черный,16000км безпробегапоРФ,левый,1 поколение,90 kWh AWD SE,03.05.2024, 30,"Автомобиль приобретен у дилера вГермании !!! Осмотр север города !!! В комплекте провода для зарядки от домашней сети.Для желающих возможна продажа через официального дилера с подключением гарантии на один год !!! Утилизационный сбор уплачен, ЕПТС получен!!!Юридическую чистоту гарантирую, полностью сопровождаю сделку, вплоть до регистрации в МРЭО"
BMW,5-Series,Санкт-Петербург,2020,6350000,дизель 3.0 л,249л.с.,АКПП,4WD,седан,черный,29000км,левый,7 поколение,530d AT xDrive Base,29.04.2024, 95,"В продаже отличный автомобиль, с надежным экономичным и до налоговым мотором 3.0d 249 л.с. Хранится в отапливаемом паркинге. Дилерский, не привезенный, купленный новым в Москве. Я второй собственник. Сборка Германия, не Калининград. В очень хорошей комплектации. 4х зонный климат с сенсорный экраном, потолок алькантара , проекция, комфортные сиденья с подогревом и вентиляцией, ломающиеся спинки, задние сиденья с подогревом, камеры 360*, адаптивные LED фары, дополнительная отделка салона кожей, бесключевой доступ, автопарковка, музыка Harman/Kardon, доводчики дверей, открытие багажника hands free и многое другое. Родной, маленький пробег. Без ДТП, без окрасов. Вся в родной краске и полностью обтянута прозрачной полиуретановой пленкой Lumar. Так же обклеены глянцевые детали салона. Такое сочетание: сборки, комплектации и пробега большая редкость. Дополнительной поставлен оригинальный обвес M Performance: ноздри, задний диффузор, спойлер, зеркала, губа переднего бампера, лезвия на пороги(все оригинал).За автомобиль не стыдно, любые проверки за ваш счет.С машиной идет 2 комплекта оригинальных дисков и резины: зима(r19), лето(r20).Также за небольшую доплату могу отдать новое оригинальное лобовое стекло и комплект задних рестайлинговых фонарей, тоже оригинал."
BMW,X5,Санкт-Петербург,2018,5700000,дизель 3.0 л,313л.с.,АКПП,4WD,,серый,99000км,левый,3 поколение,xDrive 40d AT M Sport Experience,30.04.2024, 56,"Куплен у официального дилера BMW в июле 2018г.Оригинал ПТС, я второй владелец. Жена возит детей в садик, школу.Идеальное состояние. Кузов в родном окрасе, полностью обтянут пленкой с первого дня покупки у дилера.Все стекла, включая лобовое оригинал.Спутниковая сигнализация с меткой.Разноширокие диски R21 оригинал, как новые, без дифектов.Новая резина Continental contisportcontact 6 xl с усиленным бортом новая, только купил.Обслуживание у дилера, без замечаний и рекомендаций, бережная эксплуатация. Обслуженная полностью, не требует вложений. Хранение в теплом сухом паркинге.Родной пробег.Двигатель работает ровно.КПП переключается плавно.В подвеске нет посторонних шумов.Чистый ухоженный салон.Панорамная крыша с люком, вентиляция сидений, проекция на лобовое, круиз-контроль, доводчики дверей, распознание знаков.Максимальная комплектация xDrive40d M Sport Experience"
Honda,Fit,Санкт-Петербург,2014,995000,бензин 1.5 л гибрид,110л.с.,робот,4WD,,белый,186000км,правый,3 поколение,1.5 Hybrid S Package 4WD,23.04.2024, 72,"Полная пошлина 14 год, 4вд L комплектация + зимний пакет.Белый перламутр, сигнализация Pandora, автозапуск (есть возможность GSM) -Колеса новые покупались осенью. Литьё  R15+ Dunlop Wintermax 195/65/15 (Комфорт+доп.Клириенс 2см) -Аморты KYB Exel-G новые, туманки(отдельная кнопка) +ДХО, Решётка Mugen, Дефлектор капота, Газовые упоры капота, Тонировка по ГОСТу + козырёк, Салон с кожаными вставками и подлокотниками (перед, зад) Полный мультируль (кожа), Круиз контроль, Русифицырованный спидометр, Магнитола на Android ( Есть всё), Камера заднего вида, Музыка Ground Zero с пищалками (Шумоизоляция всех дверей) Подогрев зеркал и дворников, EVA коврики + коврик в багажник, сервесная книжка с начала эксплуатации в РФ, Все жидкости поменяны, на данный иомент вообще не нужно ничего делать и менять, стоят самые последние обновления прошивок . По ходовке нареканий НЕТ, тормоза обслужены , колодки новые.Ржавчина отсутствует, Обслуживание в Honda Service , на любую диагностику, все вопросы по толефону или WhatsApp , возможен торг."
Toyota,Corolla,Санкт-Петербург,2018,1950000,бензин 1.2 л,116л.с.,вариатор,передний,хэтчбек 5 дв.,синий,46000км безпробегапоРФ,правый,12 поколение,Sport 1.2 G Z,18.04.2024, 178,"Продаю  Toyota Corolla SPORT GZ 1, 2 tyrboАукцион 4, 5В балла, есть в статистике.12 месяц 2018 год.ПРИВОЗ ДО 1 АВГУСТА. Утилизационный сбор уплачен.Все документы: ЭПТС, СБКТС, техосмотр.Максимальная комплектация GZ.Редкий цвет 221 хамелион (двухслойный металлик- ледниковый)....Парктроники, датчики слепых зон, система предотвращения столкновения, кожаный руль, электронный спидометр, адаптивный круиз контроль, удержание автомобиля в полосе, распознание знаков дорожного движения, 5 режимов езды (eco, comfort, normal, sport, sport s+),  подрулевые лепестки, авто свет, авто дальний свет, Led передняя и задняя оптика + птф, японский видеорегистратор, подогрев зеркал,  бесключевой доступ, хорошая музыка с камерой заднего хода, раздельный климат контроль, авто затемнение зеркала заднего вида, оригинальные японские стильные диски R-18, резина Dunlop, удобные сиденья с боковой поддержкой-ковши, автоматический электронный стояночный тормоз.....Очень резвый, комфортный, стильный и экономичный автомобиль! Звоните, все расскажу и покажу!"
Jaecoo,J8,Санкт-Петербург,2024,4399000,бензин 2.0 л,249л.с.,робот,4WD,,серый,новый автомобиль,левый,1 поколение,,02.05.2024, 230,"JAECOO РОЛЬФ ПолюстровоСанкт-Петербург, Полюстровский пр.68__📞 Условия приобретения уточняйте у дилера__🏆 С РОЛЬФ НАДЕЖНО- Работаем с 1991 года- 3692 новых автомобиля в наличии- Сеть из 90 салонов по всей России- Представляем более 49 брендов- Автодилер года - 2022__📞 Позвоните нам, что узнать предварительную стоимость вашего автомобиля в Trade-in и расчет по кредиту__💫 С РОЛЬФ КОМФОРТНО- Доступен тест-драйв всех моделей- Официальная гарантия 7 лет- КАСКО и зимние шины в подарок- Выкупим кредитный автомобиль и погасим кредит за Вас- Трейд-ин на новый автомобиль или с пробегом с выгодой до 1 000 000 рублей- Рассрочка до 78 месяцев, а кредит без первого взноса- Оформим страхование КАСКО, ОСАГО__📞 Позвоните нам, чтобы записаться на осмотр вашего нового автомобиля и пройти тест-драйвФинальные условия акций и привилегий на данный автомобиль уточняйте у менеджера отдела продаж по телефону__❤️ Добавьте это объявление в избранное, чтобы не потерять"
Jaecoo,J7,Санкт-Петербург,2023,3609900,бензин 1.6 л,186л.с.,робот,4WD,,зеленый,новый автомобиль,левый,1 поколение,1.6T DCT AWD Active,02.05.2024, 129,"JAECOO РОЛЬФ ПолюстровоСанкт-Петербург, Полюстровский пр.68__📞 Условия приобретения уточняйте у дилера__🏆 С РОЛЬФ НАДЕЖНО- Работаем с 1991 года- 3692 новых автомобиля в наличии- Сеть из 90 салонов по всей России- Представляем более 49 брендов- Автодилер года - 2022__📞 Позвоните нам, что узнать предварительную стоимость вашего автомобиля в Trade-in и расчет по кредиту__💫 С РОЛЬФ КОМФОРТНО- Доступен тест-драйв всех моделей- Официальная гарантия 7 лет- КАСКО и зимние шины в подарок- Выкупим кредитный автомобиль и погасим кредит за Вас- Трейд-ин на новый автомобиль или с пробегом с выгодой до 1 000 000 рублей- Рассрочка до 78 месяцев, а кредит без первого взноса- Оформим страхование КАСКО, ОСАГО__📞 Позвоните нам, чтобы записаться на осмотр вашего нового автомобиля и пройти тест-драйвФинальные условия акций и привилегий на данный автомобиль уточняйте у менеджера отдела продаж по телефону__❤️ Добавьте это объявление в избранное, чтобы не потерять"
Chevrolet,Aveo,Санкт-Петербург,2008,530000,бензин 1.2 л,84л.с.,механика,передний,хэтчбек 5 дв.,синий,340000км,левый,1 поколение рестайлинг,1.2 MT LT,02.05.2024, 152,"Продаю надёжный и экономичный автомобиль. Пробег соответствует году, т.к. машина эксплуатируется каждый день. Состояние хорошее, всё что ломается и не работает сразу идёт под замену. Из последних выполненных работ (в конце апреля): катушка зажигания, свечи, в-в провода, масло в ДВС, все фильтра, прокладка клапанной крышки, тормозные диски, колодки, ревизия суппортов, стойки стабилизаторы, тормозная жидкость, корпус термостата. Коробка передач обслуживалась осенью (полная дефектовка, замена подшипников, сальников, масло).Двери без коррозии. В декабре сделан антикор порогов. Для комфортной езды, салон полностью зашумлен.В марте куплен новый комплект летней резины Hankook (185*60*R14), поставлен на литые диски. В наличии зимняя резина R15 тоже на дисках.Дополнительные проверки по договоренности и за ваш счёт. В цене учтены все нюансы по автомобилю, минимальный торг возможен, но только реальному покупателю у капота."
